venue,entry_type,num_papers,scimago_quartile,core_rank,notes
IEEE Access,article,14,q1,,
IEEE Transactions on Software Engineering,article,9,q1,,
"Computers, Materials and Continua",article,7,q2,,
Information and Software Technology,article,7,q1,,
International Journal of Software Engineering and Knowledge Engineering,article,5,q3,,
IEEE Transactions on Services Computing,article,3,q1,,
International Journal of Computer Applications,article,3,not_idx,,
International journal of intelligent engineering and systems,article,3,q3,,
ACM Trans. Softw. Eng. Methodol.,article,2,q1,,
Indian Journal of Science and Technology,article,2,not_idx,,
International Journal for Research in Applied Science and Engineering Technology,article,2,not_idx,,
International Journal of Emerging Trends in Engineering Research,article,2,not_idx,,
International Journal of Software Engineering & Applications,article,2,not_idx,,
Journal of Computer Science,article,2,not_idx,,
Journal of Intelligent & Fuzzy Systems,article,2,q3,,
Journal of Systems and Software,article,2,q1,,
Lecture Notes in Networks and Systems,article,2,q4,,
Software Testing Verification and Reliability,article,2,q2,,
2010 International Conference on Communication and Computational Intelligence (INCOCCI),article,1,,not_idx,
2013 IEEE 9th International Conference on Emerging Technologies (ICET),inproceedings,1,,not_idx,
2014 4th World Congress on Information and Communication Technologies (WICT 2014),inproceedings,1,,not_idx,
2014 IEEE International Advance Computing Conference (IACC),inproceedings,1,,not_idx,
2016 International Computer Symposium (ICS),inproceedings,1,,not_idx,
2016 International Conference on Open Source Systems & Technologies (ICOSST),inproceedings,1,,not_idx,
2017 International Conference on Intelligent Computing and Control Systems (ICICCS),inproceedings,1,,not_idx,
"2017 International Conference on Software Analysis, Testing and Evolution (SATE)",inproceedings,1,,not_idx,
"2018 IEEE 25th International Conference on Software Analysis, Evolution and Reengineering (SANER)",inproceedings,1,,a,
2018 IEEE/ACM 13th International Workshop on Automation of Software Test (AST),inproceedings,1,,workshop,
2019 International Conference on Frontiers of Information Technology (FIT),inproceedings,1,,not_idx,
"2020 IEEE 13th International Conference on Software Testing, Validation and Verification (ICST)",inproceedings,1,,a,
2021 2nd Asia Service Sciences and Software Engineering Conference,inproceedings,1,,not_idx,
2022 19th International Bhurban Conference on Applied Sciences and Technology (IBCAST),inproceedings,1,,not_idx,
"2022 IEEE Conference on Software Testing, Verification and Validation (ICST)",inproceedings,1,,a,
"2024 IEEE 48th Annual Computers, Software, and Applications Conference (COMPSAC)",inproceedings,1,,b,
"2025 25th International Conference on Software Quality, Reliability and Security (QRS)",inproceedings,1,,c,
2025 7th International Conference on Natural Language Processing (ICNLP),inproceedings,1,,not_idx,
2025 IEEE International Conference on Vehicular Electronics and Safety (ICVES),inproceedings,1,,not_idx,
2025 IEEE/ACM 22nd International Conference on Mining Software Repositories (MSR),inproceedings,1,,a,
"2025 Intelligent Methods, Systems, and Applications​ (IMSA)",inproceedings,1,,not_idx,
2026 IEEE International Conference for Convergence in Computing Technology (I3CTCON),inproceedings,1,,not_idx,
2026 International Conference on Visual Analytics and Data Visualization (ICVADV),inproceedings,1,,not_idx,
ACM Comput. Surv.,article,1,q1,,
ACM SIGSOFT Software Engineering Notes,article,1,not_idx,,
ACM Transactions on Software Engineering and Methodology,article,1,q1,,
"AISTA 2021 - Proceedings of the 1st ACM International Workshop on AI and Software Testing/Analysis, co-located with ECOOP/ISSTA 2021",conference,1,,workshop,
Applied Sciences (Switzerland),article,1,q2,,
Applied Soft Computing,article,1,q1,,
CINECA IRIS Institutional Research Information System (University of Basilicata),article,1,not_idx,,
Communications in Computer and Information Science,article,1,q4,,
Computer Systems Science and Engineering,article,1,not_idx,,
Computing and Informatics / Computers and Artificial Intelligence,article,1,not_idx,,
DOAJ (DOAJ: Directory of Open Access Journals),article,1,not_idx,,
Eksploatacja i Niezawodnosc - Maintenance and Reliability,article,1,not_idx,,
GAZI UNIVERSITY JOURNAL OF SCIENCE,article,1,q2,,
IEEE Transactions on Reliability,article,1,q1,,
IEICE Transactions on Information and Systems,article,1,q3,,
IET Software,article,1,not_idx,,
IOSR Journal of Computer Engineering,article,1,not_idx,,
Intelligent Automation & Soft Computing,article,1,q3,,
